"1000","1","Monday","Monday","13:00","14:00"
"1001","1","Monday","Monday","13:30","14:30"
"1002","1","Monday","Monday","14:00","15:00"
"1003","1","Monday","Monday","14:30","15:30"
"1004","1","Monday","Monday","14:00","15:00"
"1005","1","Monday","Monday","14:30","15:30"
"1006","1","Monday","Monday","15:00","16:00"
"1007","1","Monday","Monday","15:30","16:30"
"1008","1","Tuesday","Tuesday","13:00","14:00"
"1009","1","Tuesday","Tuesday","13:30","14:30"
"1010","1","Tuesday","Tuesday","14:00","15:00"
"1011","1","Tuesday","Tuesday","14:30","15:30"
"1012","1","Tuesday","Tuesday","15:00","16:00"
"1013","1","Tuesday","Tuesday","14:00","15:00"
"1014","1","Tuesday","Tuesday","14:30","15:30"
"1015","1","Tuesday","Tuesday","15:00","16:00"
"1016","1","Tuesday","Tuesday","15:30","16:30"
"1017","1","Tuesday","Tuesday","16:00","17:00"
"1018","1","Wednesday","Wednesday","13:00","14:00"
"1019","1","Wednesday","Wednesday","13:30","14:30"
"1020","1","Wednesday","Wednesday","14:00","15:00"
"1021","1","Wednesday","Wednesday","14:30","15:30"
"1022","1","Wednesday","Wednesday","14:00","15:00"
"1023","1","Wednesday","Wednesday","14:30","15:30"
"1024","1","Wednesday","Wednesday","15:00","16:00"
"1025","1","Wednesday","Wednesday","15:30","16:30"
"1026","1","Thursday","Thursday","13:00","14:00"
"1027","1","Thursday","Thursday","13:30","14:30"
"1028","1","Thursday","Thursday","14:00","15:00"
"1029","1","Thursday","Thursday","14:30","15:30"
"1030","1","Thursday","Thursday","15:00","16:00"
"1031","1","Thursday","Thursday","14:00","15:00"
"1032","1","Thursday","Thursday","14:30","15:30"
"1033","1","Thursday","Thursday","15:00","16:00"
"1034","1","Thursday","Thursday","15:30","16:30"
"1035","1","Thursday","Thursday","16:00","17:00"
"1036","1","Friday","Friday","13:00","14:00"
"1037","1","Friday","Friday","13:30","14:30"
"1038","1","Friday","Friday","14:00","15:00"
"1039","1","Friday","Friday","14:30","15:30"
"1040","1","Friday","Friday","14:00","15:00"
"1041","1","Friday","Friday","14:30","15:30"
"1042","1","Friday","Friday","15:00","16:00"
"1043","1","Friday","Friday","15:30","16:30"
