"9134882","3833"
"7317529","7846"
"1466944","8400"
"5262113","8456"
"6401161","8810"
"9732676","6454"
"5635079","5910"
"3407646","1183"
"5940791","3502"
"4930217","4692"
"6563070","8969"
"2929209","4964"
"5585917","3142"
"4003418","4661"
"5794602","8294"
"7464594","8708"
"4916432","1872"
"1949842","2178"
"7863002","7956"
"3157882","6462"
"9549465","9095"
"1308856","2424"
"2770418","4951"
"6362886","5535"
"1014734","9532"
"9710816","2746"
"7673326","7112"
"1985862","8603"
"1047072","9966"
"1041744","6821"
"9539929","2487"
"2167616","3241"
"3867073","3076"
"9529335","3696"
"4520143","8587"
"4611402","5043"
"4291966","3147"
"1437109","8645"
"4397281","5120"
"1863056","9305"
"5414681","4772"
"3463739","6801"
"1034438","8607"
"4368470","2625"
"7049695","4573"
"3962325","3548"
"8094414","4019"
"5717189","1813"
"8988036","9727"
"8127105","6684"
"9134882","4935"
"7317529","8433"
"1466944","6424"
"5262113","7749"
"6401161","8887"
"9732676","6993"
"5635079","4349"
"3407646","2963"
"5940791","6456"
"4930217","3180"
"6563070","3538"
"2929209","7950"
"5585917","6934"
"4003418","1944"
"5794602","7013"
"7464594","9161"
"4916432","2084"
"1949842","2406"
"7863002","4215"
"3157882","2133"
