"1013510","1000","19E"
"1102526","1000","15F"
"1107205","1000","11A"
"1195508","1000","10D"
"1310297","1000","16C"
"1813865","1000","19D"
"1927715","1000","10E"
"2320878","1000","18B"
"2533415","1000","10D"
"2979887","1000","18C"
"3180154","1001","16F"
"3302587","1001","12D"
"3636605","1001","14B"
"3712104","1001","14D"
"4348255","1001","17C"
"4434562","1001","18E"
"4444103","1001","18B"
"4472571","1001","10D"
"4477132","1001","14A"
"4583743","1001","10B"
"4664961","1002","15F"
"5011219","1002","15E"
"5539639","1002","17F"
"5770242","1002","15A"
"6284476","1002","19F"
"6286762","1002","15C"
"6567649","1002","18C"
"6853060","1002","18E"
"7016253","1002","1A"
"7111296","1002","10D"
"7220784","1003","13B"
"7225841","1003","17A"
"7293656","1003","10C"
"7435021","1003","13B"
"7701197","1003","11F"
"7766811","1003","17D"
"8222692","1003","19A"
"8337993","1003","16B"
"8382579","1003","14C"
"8510065","1003","15C"
"8631774","1004","15D"
"8668927","1004","11C"
"8752999","1004","19C"
"8822572","1004","1A"
"9216435","1004","16E"
"9279517","1004","10C"
"9340516","1004","19B"
"9738881","1004","10E"
"9775613","1004","13E"
"9822327","1004","16A"
"1013510","1005","18B"
"1102526","1005","13D"
"1107205","1005","12C"
"1195508","1005","13C"
"1310297","1005","16E"
"1813865","1005","12D"
"1927715","1005","13A"
"2320878","1005","14D"
"2533415","1005","16B"
"2979887","1005","18D"
"3180154","1006","16F"
"3302587","1006","12B"
"3636605","1006","18C"
"3712104","1006","17C"
"4348255","1006","2B"
"4434562","1006","11D"
"4444103","1006","11F"
"4472571","1006","13C"
"4477132","1006","17C"
"4583743","1006","18D"
"4664961","1007","13D"
"5011219","1007","18F"
"5539639","1007","15F"
"5770242","1007","17E"
"6284476","1007","15E"
"6286762","1007","18C"
"6567649","1007","14C"
"6853060","1007","2C"
"7016253","1007","15B"
"7111296","1007","18B"
"7220784","1008","2B"
"7225841","1008","19B"
"7293656","1008","11E"
"7435021","1008","15D"
"7701197","1008","18D"
"7766811","1008","17F"
"8222692","1008","16D"
"8337993","1008","14C"
"8382579","1008","11C"
"8510065","1008","17D"
"8631774","1009","13F"
"8668927","1009","1A"
"8752999","1009","2B"
"8822572","1009","11B"
"9216435","1009","1B"
"9279517","1009","15D"
"9340516","1009","14A"
"9738881","1009","11D"
"9775613","1009","14E"
"9822327","1009","11F"
"1013510","1010","11D"
"1102526","1010","1C"
"1107205","1010","10B"
"1195508","1010","2A"
"1310297","1010","15E"
"1813865","1010","2D"
"1927715","1010","18F"
"2320878","1010","15F"
"2533415","1010","13D"
"2979887","1010","14A"
"3180154","1011","17D"
"3302587","1011","19C"
"3636605","1011","11A"
"3712104","1011","1B"
"4348255","1011","11D"
"4434562","1011","17E"
"4444103","1011","11E"
"4472571","1011","2C"
"4477132","1011","10C"
"4583743","1011","16B"
"4664961","1012","11D"
"5011219","1012","11F"
"5539639","1012","11C"
"5770242","1012","18C"
"6284476","1012","19F"
"6286762","1012","17F"
"6567649","1012","12F"
"6853060","1012","14F"
"7016253","1012","16C"
"7111296","1012","12D"
"7220784","1013","14D"
"7225841","1013","18C"
"7293656","1013","15D"
"7435021","1013","15A"
"7701197","1013","14B"
"7766811","1013","19D"
"8222692","1013","14F"
"8337993","1013","19C"
"8382579","1013","1B"
"8510065","1013","14B"
"8631774","1014","16C"
"8668927","1014","17F"
"8752999","1014","18A"
"8822572","1014","10D"
"9216435","1014","18C"
"9279517","1014","15D"
"9340516","1014","12F"
