707,University of California Berkley
708,California Institute of Technology
709,CSU Los Angeles
710,Cal Poly Pomona
711,Cerro Coso Community College
713,College of Alameda
714,De Anza College
715,University of California Davis
716,University of Southern California
717,Glendale Community College
718,Long Beach City College
719,University of California San Diego
720,University of California Los Angeles
721,Monterey Peninsula College
722,Mt. San Antonio College
723,Reedley College
724,Sacramento City College
725,Saddleback College
726,San Bernardino Valley College
727,San Diego State University
728,San Jose State University
729,University of California Irvine
730,Stanford University
