1000,San Jose State University
1001,San Jose State University
1002,San Jose State University
1003,San Jose State University
1004,Cal Maritime
1005,Cal Poly Pomona
1006,Cal Poly San Luis Obispo
1007,CSU Bakersfield
1008,San Jose State University
1009,San Jose State University
1010,San Jose State University
1011,San Jose State University
1012,San Jose State University
1013,CSU Channel Islands
1014,CSU Chico
1015,CSU Dominguez Hills
1016,CSU East Bay
1017,CSU Fresno
1018,San Jose State University
1019,San Jose State University
1020,San Jose State University
1021,San Jose State University
1022,CSU Fullerton
1023,CSU Long Beach
1024,CSU Los Angeles
1025,CSU Monterey Bay
1026,San Jose State University
1027,San Jose State University
1028,San Jose State University
1029,San Jose State University
1030,San Jose State University
1031,CSU Northridge
1032,CSU Sacramento
1033,CSU San Bernardino
1034,CSU San Marcos
1035,CSU Stanislaus
1036,San Jose State University
1037,San Jose State University
1038,San Jose State University
1039,San Jose State University
1040,Humboldt State University
1041,San Diego State University
1042,San Francisco State University
1043,Sonoma State University
