1000,Cal Maritime
1001,Cal Poly Pomona
1002,Cal Poly San Luis Obispo
1003,CSU Bakersfield
1004,San Jose State University
1005,San Jose State University
1006,San Jose State University
1007,San Jose State University
1008,CSU Channel Islands
1009,CSU Chico
1010,CSU Dominguez Hills
1011,CSU East Bay
1012,CSU Fresno
1013,San Jose State University
1014,San Jose State University
1015,San Jose State University
1016,San Jose State University
1017,San Jose State University
1018,CSU Fullerton
1019,CSU Long Beach
1020,CSU Los Angeles
1021,CSU Monterey Bay
1022,San Jose State University
1023,San Jose State University
1024,San Jose State University
1025,San Jose State University
1026,CSU Northridge
1027,CSU Sacramento
1028,CSU San Bernardino
1029,CSU San Marcos
1030,CSU Stanislaus
1031,San Jose State University
1032,San Jose State University
1033,San Jose State University
1034,San Jose State University
1035,San Jose State University
1036,Humboldt State University
1037,San Diego State University
1038,San Francisco State University
1039,Sonoma State University
1040,San Jose State University
1041,San Jose State University
1042,San Jose State University
1043,San Jose State University
