1000,2016-12-12 13:00:00,2016-12-12 14:00:00
1001,2016-12-12 13:30:00,2016-12-12 14:30:00
1002,2016-12-12 14:00:00,2016-12-12 15:00:00
1003,2016-12-12 14:30:00,2016-12-12 15:30:00
1004,2016-12-12 14:00:00,2016-12-12 15:00:00
1005,2016-12-12 14:30:00,2016-12-12 15:30:00
1006,2016-12-12 15:00:00,2016-12-12 16:00:00
1007,2016-12-12 15:30:00,2016-12-12 16:30:00
1008,2016-12-13 13:00:00,2016-12-13 14:00:00
1009,2016-12-13 13:30:00,2016-12-13 14:30:00
1010,2016-12-13 14:00:00,2016-12-13 15:00:00
1011,2016-12-13 14:30:00,2016-12-13 15:30:00
1012,2016-12-13 15:00:00,2016-12-13 16:00:00
1013,2016-12-13 14:00:00,2016-12-13 15:00:00
1014,2016-12-13 14:30:00,2016-12-13 15:30:00
1015,2016-12-13 15:00:00,2016-12-13 16:00:00
1016,2016-12-13 15:30:00,2016-12-13 16:30:00
1017,2016-12-13 16:00:00,2016-12-13 17:00:00
1018,2016-12-14 13:00:00,2016-12-14 14:00:00
1019,2016-12-14 13:30:00,2016-12-14 14:30:00
1020,2016-12-14 14:00:00,2016-12-14 15:00:00
1021,2016-12-14 14:30:00,2016-12-14 15:30:00
1022,2016-12-14 14:00:00,2016-12-14 15:00:00
1023,2016-12-14 14:30:00,2016-12-14 15:30:00
1024,2016-12-14 15:00:00,2016-12-14 16:00:00
1025,2016-12-14 15:30:00,2016-12-14 16:30:00
1026,2016-12-15 13:00:00,2016-12-15 14:00:00
1027,2016-12-15 13:30:00,2016-12-15 14:30:00
1028,2016-12-15 14:00:00,2016-12-15 15:00:00
1029,2016-12-15 14:30:00,2016-12-15 15:30:00
1030,2016-12-15 15:00:00,2016-12-15 16:00:00
1031,2016-12-15 14:00:00,2016-12-15 15:00:00
1032,2016-12-15 14:30:00,2016-12-15 15:30:00
1033,2016-12-15 15:00:00,2016-12-15 16:00:00
1034,2016-12-15 15:30:00,2016-12-15 16:30:00
1035,2016-12-15 16:00:00,2016-12-15 17:00:00
1036,2016-12-16 13:00:00,2016-12-16 14:00:00
1037,2016-12-16 13:30:00,2016-12-16 14:30:00
1038,2016-12-16 14:00:00,2016-12-16 15:00:00
1039,2016-12-16 14:30:00,2016-12-16 15:30:00
1040,2016-12-16 14:00:00,2016-12-16 15:00:00
1041,2016-12-16 14:30:00,2016-12-16 15:30:00
1042,2016-12-16 15:00:00,2016-12-16 16:00:00
1043,2016-12-16 15:30:00,2016-12-16 16:30:00
